STT	漢字	Hán Việt	ひらがな	Nghĩa	Chưa thuộc	Từ loại
531	付き合う	Phó hợp	つきあう	Hẹn hò		
532	盗む	Đạo	ぬすむ	Ăn trộm		
533	留守中	Lưu thủ trung	るすちゅう	Trong khi vắng nhà		
534	が　刺さる	Thích	ささる	Mắc, hóc		
535	刺す	Thích	さす	Đâm, chọc		
536	殺す	Sát	ころす	Giết		
537	が　隠れる	Ẩn	かくれる	Ẩn nấp, núp		
538	隠す	Ẩn	かくす	Che giấu		
539	が　埋まる	Mai	うまる	Bị lấp,chôn		
540	埋める	Mai	うめる	Chôn lấp		
541	囲む	Vi	かこむ	Bao quanh, vây hãm		
542	が　詰まる	Cật	つまる	Chặt, đầy		
543	詰める	Cật	つめる	Nhét vào, tống vào		
544	開く	Khai	ひらく	Mở		
545	閉じる	Bế	とじる	Đóng		
546	が　飛ぶ	Phi	とぶ	Bay		
547	飛ばす	Phi	とばす	Làm cho bay		
548	振る	Chấn	ふる	Vẫy (tay		
549	捲る	Quyển	めくる	Xắn, quấn 		
550	見かける	Kiến	みかける	Tình cờ gặp		
551	確かめる	Xác	たしかめる	Xác nhận, kiểm tra		
552	試す	Thí	ためす	Mặc thử		
554	洋服	Dương phục	ようふく	Quần áo kiểu Tây Âu		
555	繰り返す	Sào phản	くりかえす	Lặp lại		
556	体操する	Thể thao	たいそうする	Tập thể dục		
557	訳す	Dịch	やくす	Dịch		
558	行う	Hành	おこなう	Tổ chức		
559	が　間違う	Gian vi	まちがう	Bị sai		
560	間違える	Gian vi	まちがえる	Làm sai		
561	許す	Hứa	ゆるす	Tha thứ, tha lỗi		
562	謝る	Tạ	あやまる	Xin lỗi		
563	が　慣れる	Quán	なれる	Quen		
564	慣らす	Quán	ならす	Làm quen, khởi động		
565	が　立つ	Lập	たつ	Bị đứng		
566	立てる	Lập	たてる	Đứng lên		
567	が　建つ	Kiến	たつ	Được xây		
568	建てる	Kiến	たてる	Xây lên		
569	が　育つ	Dục	そだつ	Lớn lên, khôn lớn		
570	育てる	Dục	そだてる	Nuôi, dạy		
571	が　生える	Sinh	はえる	Mọc, phát triển		
572	生やす	Sinh	はやす	Để dài (râu		
573	が　汚れる	Ô	よごれる	Bị bẩn		
574	汚す	Ô	よごす	Làm bẩn		
575	が　壊れる	Hoại	こわれる	Bị hỏng		
576	壊す	Hoại	こわす	Làm hỏng		
577	が　割れる	Cát	われる	Bị vỡ		
578	割る	Cát	わる	Làm vỡ		
579	が　折れる	Triết	おれる	Gãy		
580	折る	Triết	おる	Làm gãy		
581	が　破れる	Phá	やぶれる	Rách		
582	破る	Phá	やぶる	Xé rách		
583	が　曲がる	Khúc	まがる	Bị gập, cong		
584	曲げる	Khúc	まげる	Gập, bẻ cong		
585	が　外れる	Ngoại	はずれる	Rời ra, tách ra		
586	外す	Ngoại	はずす	Làm rời ra, tách ra		
587	が　揺れる	Dao	ゆれる	Bi rung		
588	揺らす	Dao	ゆらす	Rung, đung đưa		
589	が　流れる	Lưu	ながれる	Chảy, trôi đi		
590	流す	Lưu	ながす	Cho chảy		
591	都心	Đô tâm	としん	Trung tâm		
592	が　濡れる	Nhu	ぬれる	Bị ướt		
593	濡らす	Nhu	ぬらす	Làm ướt		
594	が　迷う	Mê	まよう	Lạc đường		
595	悩む	Não	なやむ	Phiền muội, lo lắng		
596	が　慌てる	Hoảng	あわてる	Luống cuống, vội vàng		
597	が　覚める	Giác	さめる	Tỉnh giấc, tỉnh dậy		
598	覚ます	Giác	さます	Làm cho tỉnh lại		
599	夜中	Dạ trung	よなか	Giữa đêm		
600	が　眠る	Miên	ねむる	Ngủ		
601	緊張する	Khẩn trương	きんちょうする	Căng thẳng, lo lắng		
602	祈る	Kì	いのる	Cầu nguyện		
603	祝う	Chúc	いわう	Chúc mừng		
604	感じる	Cảm	かんじる	Cảm thấy		
605	濃い	Nùng	こい	Nồng, đậm		
606	薄い	Bạc	うすい	Nhạt		
607	酸っぱい	Toan	すっぱい	Chua		
608	臭い	Xú	くさい	Thối, tanh		
609	可笑しい	Khả tiếu	かわいい	Buồn cười		
610	格好いい	Cách hảo	かっこいい	Đẹp trai, bảnh bao		
611	うまい		うまい	Ngon		
612	親しい	Thân	したしい	Thân thiện, gần gũi		
613	詳しい	Tường	くわしい	Tường tận, tỉ mỉ		
614	細かい	Tế	こまかい	Chi tiết, chi li		
615	浅い	Thiển	あさい	Nông, cạn		
616	硬い,固い	Ngạch,Cố	かたい	Cứng, dai		
617	温い	Ôn	ぬるい	Nguội		
618	眩しい	Huyễn	まぶしい	Chói mắt, sáng chói		
619	蒸し暑い	Chưng thử	むしあつい	Nóng ẩm		
620	清潔（な）	Thanh khiết	せいけつ	Thanh khiết, sạch sẽ		
621	新鮮（な）	Tân tiến	しんせん	Tươi, mới		
622	豊か（な）	Phong	ゆたか	Giàu có		
623	立派（な）	Lập phái	りっぱい	Siêu		
624	正確（な）	Chính xác	せいかく	Chính xác		
625	確か（な）	Xác	たしか	Xác thực		
626	重要（な）	Trọng yếu	じゅうよう	Trọng yếu		
627	必要（な）	Tất yếu	ひつよう	Cần thiết		
628	勿体無い（な）	Vật thể vô	もったいない	Lãng phí, hoang phí		
629	凄い	Thê	すごい	Giỏi, xuất sắc		
630	酷い	Khốc	ひどい	Kinh khủng, khủng khiếp		
631	激しい	Kích	はげしい	Mãnh liệt		
632	そっくり（な）			Giống		
633	急（な）		きゅう	Gấp		
634	適当（な）	Thích đương	てきとう	Thích hợp, vừa phải		
635	特別（な）	Đặc biệt	とくべつ	Đặc biệt		
636	完全（な）	Hoàn toàn	かんぜん	Hoàn toàn		
637	盛ん（な）	Thịnh	さかん	Thịnh vượng		
638	様々（な）	Dạng	さまざま	Nhiều loại		
639	可能（な）	Khả năng	かのう	Khả năng		
640	不可能（な）	Bất khả năng	ふかのう	Không khả thi		
641	基本的（な）	Cơ bản đích	きほんてき	Tính cơ bản		
642	国際的（な）	Quốc tế đích	こくさいてき	Tính quốc tế		
643	ばらばら（な）			Bừa bộn, lung tung		
644	ぼろぼろ（な）			Rách nát		
645	読書する	Độc thư	どくしょ	Đọc sách		
646	演奏	Diễn tẫu	えんそう	Trình diễn, biểu diễn		
647	芸術	Nghệ thuật	げいじゅつ	Nghệ thuật		
648	検査する	Kiểm tra	ちょうさする	Kiểm tra		
649	胃	Vị	い	Dạ dày		
650	血液	Huyết dịch	けつえき	Máu		
651	流れる	Lưu	ながれる	Chảy, trôi đi		
652	治療する	Trị liệu	ちりょうする	Trị liệu		
653	症状	Chứng trạng	しょうじょう	Triệu chứng		
654	鼻水	Tị thủy	はなみず	Nước mũi		
655	予防する	Dự phòng	よぼうする	Dự phòng		
656	栄養	Vinh dưỡng 	えいよう	Dinh dưỡng		
657	手術	Thủ thuật	しゅじゅつ	Phẫu thuật		
658	死亡する	Tử vong	しぼうする	Tử vong		
659	命	Mệnh	いのち	Cuộc sống		
660	一生	Sinh	いっしょう	Cuộc đời, suốt đời		
661	誤解する	Ngộ giải	ごかいする	Hiểu nhầm		
662	後悔	Hậu hối	こうかい	Hối hận		
663	訳	Dịch	わけ	Lý do		
664	態度	Thái độ	たいど	Thái độ		
665	癖	Phích	くせ	Thói quen		
666	礼儀	Lễ nghi	れいぎ	Lễ nghi		
667	文句	Văn cú	もんく	Kêu ca, phàn nàn		
668	表情	Biểu tình	ひょうじょう	Biểu tình		
669	表面	Biểu diện	ひょうめん	Bề ngoài, bề mặt		
670	禁煙する	Cấm yên	きんえんする	Cấm hút thuốc		
671	禁止する	Cấm chỉ	きんしする	Cấm		
672	完成する	Hoàn thành	かんせいする	Hoàn thành		
673	課題	Khóa đề	かだい	Chủ đề		
674	例外	Lệ ngoại	れいがい	Ngoại lệ		
675	基本	Cơ bản	きほん	Cơ bản		
676	記録する	Kí lục	きろくする	Ghi chép, ghi lại		
677	状態	Trạng thái	じょうたい	Trạng thái		
678	出来事	Xuất lai sự	できごと	Việc đã xảy ra		
679	場面	Trường diện	ばめん	Hiện trường, bối cảnh		
680	機会	Cơ hội	きかい	Cơ hội		
681	距離	Cự ly	きょり	Cư ly		
682	提案する	Đề án	ていあんする	Đề xuất		
683	やり取りする	Thủ	やりとりする	Trao đổi		
684	知識	Tri thức	ちしき	Tri thức		
685	実力	Thực lực	じつりょく	Thực lực		
686	手段	Thủ đoạn	しゅだん	Phương pháp, thủ đoạn		
687	代表する	Đại biểu	だいひょうする	Đại biểu		
688	影響する	Ảnh hưởng	えいきょうする	Ảnh hưởng		
689	効果	Hiệu quả	こうか	Hiệu quả		
690	印象	Ấn tượng	いんしょう	Ấn tượng		
691	印	Ấn	しるし	Dấu hiệu		
692	合図	Hợp đồ	あいず	Dấu hiệu		
693	共通する	Cộng thông	きょうつうする	Điểm chung		
694	強調する	Cường điều	きょうちょうする	Nhấn mạnh		
695	大事	Đại sự	だいじ	Quan trọng		
696	説明する	Thuyết minh	せつめいする	Thuyết minh		
697	省略する	Tỉnh lược	しょうりゃくする	Lược bỏ		
698	詳しい	Tường	くわしい	Tường tận, cụ thể		
699	挑戦する	Thiêu chiến	ちょうせんする	Khiêu chiến, thách thức		
700	やる気	Khí	やるき	Có hứng thú làm		
701	勇気	Dũng khí	ゆうき	Dũng khí		
702	資格	Tư cách	しかく	Tư cách		
703	弁護士	Biện hộ sĩ	べんごし	Luật sư		
704	申請する	Thân thỉnh	しんせいする	Yêu cầu, thỉnh cầu		
705	通帳	Thông trướng	つうちょう	Sổ tiết kiệm		
706	貯金する	Trữ kim	ちょきんする	Tiết kiệm, dành dụm		
707	本人	Bản nhân	ほんにん	Người chính		
708	契約する	Khế ước	けいやくする	Hợp đồng		
709	証明する	Chứng minh	しょうめいする	Chứng minh		
710	変更する	Biến canh	へんこうする	Sửa đổi		
711	保存する	Bảo tồn	ほぞんする	Bảo tồn		
712	保護する	Bảo hộ	ほごする	Bảo hộ		
714	郊外	Giao ngoại	こうがい	Ngoại ô		
715	都心	Đô tâm	としん	Trung tâm		
716	資源	Tư nguyên	しげん	Tài nguyên		
717	有効	Hữu hiệu	ゆうこう	Hữu hiệu		
718	不足する	Bất túc	ふそくする	Không đủ		
719	平均する	Bình quân	へいきんする	Trung bình		
720	割合	Cát hợp	わりあい	Tỉ lệ		
721	商売する	Thương mại	しょうばいする	Thương mại		
722	商品	Thương phẩm	しょうひん	Sản phẩm		
723	質	Chất	しつ	Chất		
724	型	Hình	かた	Mẫu, khuôn		
725	生産する	Sinh sản	せいさんする	Sản xuất		
726	農業	Nông nghiệp	のうぎょう	Nông nghiệp		
727	消費する	Tiêu phí	しょうひする	Tiêu phí		
728	物価	Vật giá	ぶっか	Giá cả		
729	倒産する	Đảo sản	とうさんする	Phá sản		
730	携帯	Huề đới	けいたい	Cầm tay		
731	現代	Hiện đại	げんだい	Hiện đại		
732	情報	Tình báo	じょうほう	Thông tin		
733	世紀	Thế kỉ	せいき	Thế kỉ		
734	文化	Văn hóa	ぶんか	Văn hóa		
735	都市	Đô thị	とし	Thành phố		
736	地方	Địa phương	ちほう	Địa phương		
737	戦争する	Chiến tranh	せんそうする	Chiến tranh		
738	平和	Bình hòa	へいわ	Hòa bình		
739	が　上る	Thượng	のぼる	Leo lên		
740	階段	Giai đoạn	かいだん	Cầu thang		
741	坂	Phản	さか	Dốc		
742	下る	Hạ	くだる	Đi xuống		
743	が　進む	Tiến	すすむ	Tiến lên		
744	進める		すすめる	Đi tiến lên		
745	が　通る	Thông	とおる	Đi qua		
746	通す		とおす	Xuyên qua		
747	光	Quang	ひかり	Ánh sáng		
748	布	Bố	ぬの	Vải		
749	空気	Không khí	くうき	Không khí		
750	が　越える,超える	Việt,Triệu	こえる	Vượt qua		
751	が　過ぎる	Quá	すぎる	Quá		
752	過ごす	Quá	すごす	Trải qua		
753	が　移る	Di	うつる	Di chuyển		
754	移す	Di	うつす	Chuyển		
755	本社	Bản xã	ほんしゃ	Trụ sở chính		
756	連れる	Liên	つれる	Dẫn, dắt		
757	が　寄る	Kỳ	よる	Ghé thăm		
758	寄せる	Kỳ	よせる	Ghé vào		
759	奨学金	Tưởng học kim	しょうがくきん	Học bổng		
760	成績	Thành tích	せいせき	Thành tích		
761	与える	Dữ	あたえる	Cung cấp, đưa		
762	得る	Đắc	える	Đạt được		
763	が　向く	Hướng	むく	Đối diện		
764	向ける	Hướng	むける	Quay, hướng đến		
765	勧める	Khuyến	すすめる	Mời, rủ, gợi ý		
766	薦める	Tiến	すすめる	Gợi ý, giới thiệu		
768	任せる	Nhiệm	まかせる	Để cho ai làm gì		
769	守る	Thủ	まもる	Giữ, tuân thủ		
770	争う	Tranh	あらそう	Gây gổ, tranh nhau		
771	望む	Vọng	のぞむ	Ước		
772	信じる	Tín	しんじる	Tin tưởng		
773	が　通じる	Thông	つうじる	Thông qua		
774	飽く	Bão	あく	Chán		
775	思いつく	Tư	おもいつく	Nghĩ		
776	思いやる	Tư	おもいやる	Quan tâm, thông cảm		
777	熱中する	Nhiệt trung	ねっちゅうする	Nghiện (karaoke		
778	暮らす	Mộ	くらす	Sinh sống		
779	巻く	Quyển	まく	Quấn		
780	結ぶ	Kết	むすぶ	Buộc		
781	紐	Nữu	ひも	Dây		
782	が　済む	Tế	すむ	Kết thúc		
783	済ます	Tế	すます	Kết thúc		
784	出来る	Xuất lai	できる	Hoàn thành, có thể		
785	切れる	Thiết	きれる	Cắt, hết		
786	切らす	Thiết	きらす	Hết mất tiêu		
787	が　伝わる	Truyền	つたわる	Truyền đi		
788	伝える	Truyền	つたえる	Truyền đi		
789	が　続く	Tục	つづく	Tiếp tục		
790	続ける	Tục	つづける	Tiếp tục		
791	が　繋がる	Hệ	つながる	Kết nối		
792	繋ぐ	Hệ	つなぐ	Kết nối		
793	繋げる	Hệ	つなげる	Làm chặt thêm		
794	伸びる	Thân	のびる	Cao lên, phát triển lên		
795	伸ばす	Thân	のばす	Làm cao,phát triển lên		
796	延びる	Duyên	のびる	Trì hoãn		
797	延ばす	Duyên	のばす	Hoãn		
799	が　重なる	Trọng	かさなる	Chồng lên		
800	重ねる	Trọng	かさねる	Chồng		
801	が　広がる	Quảng	ひろがる	Rộng		
802	広げる	Quảng	ひろげる	Mở rộng		
803	が　載る	Tải	のる	Lên, vừa		
804	載せる	Tải	のせる	Cho lên, cho vào		
805	が　揃う	Tiễn	そろう	Thu thập		
806	揃える	Tiễn	そろえる	Tập hợp		
807	が　纏まる	Triền	まとまる	Tập hợp, thống nhất		
808	纏める	Triền	まとめる	Tập hợp		
809	が　付く	Phó	つく	Dính, gắn, có		
810	付ける	Phó	つける	Gắn, thêm vào		
811	が　貯まる	Trữ	たまる	Tiết kiệm		
812	貯める	Trữ	ためる	Tiết kiệm		
813	が　交じる,混じる	Giao,Hỗn	まじる	Giao vào, lẫn vào		
814	が　交ざる,混ざる	Giao,Hỗn	まざる	Lẫn vào		
815	交ぜる,混ぜる	Giao,Hỗn	まぜる	Trộn vào		
816	が　溶ける,解ける	Dong,Giải	とける	Giải quyết, giải đông		
817	解く,溶く,溶かす	Dong,Giải	とく,とかす	Giải quyết, giải đông		
818	含む	Hàm	ふくむ	Bao gồm		
819	含める	Hàm	ふくめる	Bao gồm		
820	が　抜ける	Bạt	ぬける	Tháo, tuột		
821	抜く	Bạt	ぬく	Lấy ra		
822	が　現れる	Hiện	あらわれる	Xuất hiện, hiện ra		
823	現す	Hiện	あらわす	Đã xuất hiện		
824	が　表れる	Biểu	あらわれる	Hiện ra		
825	表す	Biểu	あらわす	Biểu thị, biểu lộ		
826	が　散る	Tàn	ちる	Tàn		
827	散らす	Tàn	ちらす	Tàn		
828	差す	Sai	さす	Giương, giơ		
829						
